rh.aparc.area	rh_bankssts_area	rh_caudalanteriorcingulate_area	rh_caudalmiddlefrontal_area	rh_cuneus_area	rh_entorhinal_area	rh_fusiform_area	rh_inferiorparietal_area	rh_inferiortemporal_area	rh_isthmuscingulate_area	rh_lateraloccipital_area	rh_lateralorbitofrontal_area	rh_lingual_area	rh_medialorbitofrontal_area	rh_middletemporal_area	rh_parahippocampal_area	rh_paracentral_area	rh_parsopercularis_area	rh_parsorbitalis_area	rh_parstriangularis_area	rh_pericalcarine_area	rh_postcentral_area	rh_posteriorcingulate_area	rh_precentral_area	rh_precuneus_area	rh_rostralanteriorcingulate_area	rh_rostralmiddlefrontal_area	rh_superiorfrontal_area	rh_superiorparietal_area	rh_superiortemporal_area	rh_supramarginal_area	rh_frontalpole_area	rh_temporalpole_area	rh_transversetemporal_area	rh_insula_area	rh_WhiteSurfArea_area	BrainSegVolNotVent	eTIV
sub-CC220974_ses-P3.long.sub-CC220974_template	1240.0	665.0	2363.0	2002.0	405.0	3442.0	7096.0	4252.0	1299.0	6137.0	2767.0	3755.0	2498.0	4635.0	852.0	1290.0	1525.0	963.0	2058.0	1680.0	4770.0	1337.0	5297.0	4620.0	585.0	7773.0	8397.0	6003.0	4506.0	4578.0	340.0	532.0	412.0	2827.0	102902.0	1383965.0	1819888.647379
sub-CC221002_ses-P3.long.sub-CC221002_template	983.0	872.0	2653.0	1707.0	456.0	3434.0	4649.0	3997.0	917.0	5168.0	2444.0	3831.0	2197.0	4134.0	621.0	1085.0	1307.0	950.0	1482.0	1963.0	3002.0	1297.0	5050.0	3563.0	637.0	7247.0	9140.0	5030.0	3515.0	3033.0	334.0	490.0	328.0	2533.0	90050.4	1185253.0	1623165.219474
sub-CC221585_ses-P3.long.sub-CC221585_template	1028.0	1005.0	2669.0	1959.0	390.0	3218.0	6370.0	4280.0	812.0	5410.0	2719.0	3123.0	2411.0	4437.0	747.0	1785.0	1442.0	864.0	1714.0	1963.0	4035.0	1389.0	5384.0	4769.0	783.0	6871.0	7880.0	5212.0	4169.0	3701.0	397.0	588.0	399.0	2503.0	96425.7	1302638.0	1721608.20162
sub-CC221977_ses-P3.long.sub-CC221977_template	1059.0	739.0	2588.0	1985.0	515.0	3538.0	4778.0	3455.0	1139.0	6307.0	3551.0	3574.0	2378.0	3765.0	664.0	1523.0	1251.0	1192.0	1821.0	1772.0	4088.0	1348.0	5405.0	5160.0	924.0	6370.0	8015.0	5575.0	3792.0	4045.0	376.0	574.0	406.0	2658.0	96330.4	1229209.0	1702596.332576
sub-CC222264_ses-P3.long.sub-CC222264_template	738.0	733.0	2461.0	1851.0	337.0	3132.0	4721.0	2860.0	1034.0	5686.0	2455.0	3121.0	2153.0	3127.0	563.0	1530.0	1403.0	858.0	1870.0	1933.0	3966.0	1243.0	5422.0	4233.0	580.0	6235.0	7754.0	4629.0	4069.0	3699.0	311.0	511.0	424.0	2460.0	88101.1	1203900.0	1608058.643876
sub-CC222496_ses-P3.long.sub-CC222496_template	1067.0	1424.0	2131.0	1658.0	264.0	3512.0	4814.0	3480.0	1034.0	6360.0	3320.0	2964.0	2059.0	3778.0	784.0	1732.0	1679.0	1184.0	2144.0	1488.0	4132.0	1488.0	5056.0	4336.0	940.0	5659.0	7332.0	5118.0	4245.0	3589.0	365.0	435.0	373.0	2732.0	92676.0	1224922.0	1654034.198343
sub-CC222652_ses-P3.long.sub-CC222652_template	866.0	844.0	2026.0	1733.0	341.0	2924.0	4717.0	2747.0	757.0	4745.0	2407.0	3718.0	2232.0	3221.0	731.0	1465.0	1250.0	753.0	1492.0	1547.0	3507.0	1214.0	4119.0	4000.0	624.0	5599.0	6110.0	5807.0	3445.0	3978.0	306.0	601.0	259.0	2582.0	82668.0	1092077.0	1410599.447794
sub-CC310086_ses-P3.long.sub-CC310086_template	920.0	1037.0	2316.0	1746.0	435.0	2670.0	5460.0	3098.0	881.0	5160.0	2570.0	3509.0	2189.0	4007.0	639.0	1493.0	1317.0	809.0	1400.0	1738.0	4344.0	1361.0	4688.0	3798.0	807.0	5748.0	7202.0	4960.0	3966.0	3047.0	329.0	493.0	320.0	2170.0	86625.6	1093154.0	1494419.537682
sub-CC310463_ses-P3.long.sub-CC310463_template	968.0	775.0	2549.0	1900.0	572.0	3393.0	5351.0	4292.0	1048.0	5985.0	2605.0	3341.0	2154.0	4310.0	662.0	1765.0	1247.0	861.0	1702.0	1715.0	4194.0	1496.0	4741.0	4499.0	638.0	6429.0	7074.0	6213.0	4195.0	4438.0	341.0	638.0	331.0	2744.0	95162.1	1262154.0	1697012.128432
sub-CC320022_ses-P3.long.sub-CC320022_template	835.0	610.0	1965.0	1579.0	384.0	2556.0	4201.0	2683.0	816.0	4315.0	2128.0	2998.0	1708.0	2711.0	599.0	1540.0	1198.0	808.0	1417.0	1475.0	3198.0	1064.0	4604.0	3422.0	532.0	4841.0	7411.0	4821.0	3557.0	3152.0	296.0	360.0	324.0	2238.0	76346.8	1055282.0	1438859.792567
